ID,TITLE,ARTIST,ALBUM,GENRE,YEAR,LOCATION
214,DJ Sona Kinetic (The Crystal Method x Dada Life),League of Legends,DJ Sona,Electro,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2015 - Dj Sona\02. DJ Sona Kinetic.flac
215,DJ Sona Concussive (Bassnectar x Renholder),League of Legends,DJ Sona,Electro,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2015 - Dj Sona\03. DJ Sona Concussive.flac
216,Welcome to Planet Urf,League of Legends,Welcome to Planet Urf,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2015 - Welcome to Planet Urf\01. Welcome to Planet Urf.flac
217,Worlds Collide,"League of Legends, Nicki Taylor",Worlds Collide,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2015 - Worlds Collide\01. Worlds Collide.flac
218,Bit Rush: Arcade Ahri,League of Legends,Bit Rush: Arcade Ahri,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2016 - Bit Rush- Arcade Ahri\01. Bit Rush- Arcade Ahri.flac
219,Burning Bright,League of Legends,Burning Bright,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2016 - Burning Bright\01. Burning Bright.flac
220,Ignite,ZEDD,Ignite (2016 League Of Legends World Championship),Dance,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2016 - Ignite\01. Ignite.flac
221,2016 Mid-Season Invitational Theme,League of Legends,2016 Mid-Season Invitational Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2016 - Mid-Season Invitational Theme\01. 2016 Mid-Season Invitational Theme.flac
222,2016 World Championship Theme,League of Legends,2016 World Championship Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2016 - World Championship Theme\01. 2016 World Championship Theme.flac
223,As We Fall,League of Legends,As We Fall,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - As We Fall\01. As We Fall.flac
224,Legends Never Die,"League of Legends, Against The Current",Legends Never Die,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - Legends Never Die\01. Legends Never Die.flac
225,Legends Never Die - Instrumental,"League of Legends, Against The Current",Legends Never Die,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - Legends Never Die\02. Legends Never Die - Instrumental.flac
226,Legends Never Die - (Remix),"League of Legends, Alan Walker, Against The Current, Mako",Legends Never Die (Remix),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - Legends Never Die (Remix)\01. Legends Never Die - (Remix).flac
227,2017 Mid-Season Invitational Theme,League of Legends,2017 Mid-Season Invitational Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - Mid-Season Invitational Theme\01. 2017 Mid-Season Invitational Theme.flac
228,2017 World Championship Theme,League of Legends,2017 World Championship Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2017 - World Championship Theme\01. 2017 World Championship Theme.flac
229,"K/DA - POP/STARS (ft Madison Beer, (G)I-DLE, Jaira Burns)",League of Legends,K/DA - POP/STARS,Pop,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - KDA - POPSTARS\01. League of Legends - KDA - POPSTARS (ft Madison Beer, (G)I-DLE, Jaira Burns).flac"
230,K/DA - POP/STARS [Instrumental],League of Legends,K/DA - POP/STARS,Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - KDA - POPSTARS\02. League of Legends - KDA - POPSTARS [Instrumental].flac
231,2018 Mid-Season Invitational Theme,"League of Legends, Danger",2018 Mid-Season Invitational Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - Mid-Season Invitational Theme\01. 2018 Mid-Season Invitational Theme.flac
232,Raise Up The Lights (2018 All-Star Event),"League of Legends, The Seige",Raise Up The Lights (2018 All-Star Event),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - Raise Up The Lights (2018 All-Star Event)\01. Raise Up The Lights (2018 All-Star Event).flac
233,2018 Rift Rivals Theme,"League of Legends, The Bloody Beatroots",2018 Rift Rivals Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - Rift Rivals Theme\01. 2018 Rift Rivals Theme.flac
234,RISE,"League of Legends, The Glitch Mob, Mako, The Word Alive",RISE,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - RISE\01. RISE.flac
235,RISE INSTRUMENTAL,"League of Legends, The Glitch Mob, Mako, The Word Alive",RISE,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - RISE\02. RISE INSTRUMENTAL.flac
236,RISE (Remix),"League of Legends, Bobby, Mako, The Glitch Mob, The Word Alive",RISE (Remix),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - RISE (Remix)\01. RISE (Remix).flac
237,2018 World Championship Theme,"League of Legends, Health",2018 World Championship Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2018 - World Championship Theme\01. 2018 World Championship Theme.flac
238,Awaken,"League of Legends, Valerie Broussard, Ray Chen",Awaken,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Awaken\01. Awaken (ft. Valerie Broussard & Ray Chen).flac
239,Awaken (INSTRUMENTAL),"League of Legends, Valerie Broussard, Ray Chen",Awaken,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Awaken\02. Awaken (ft. Valerie Broussard & Ray Chen)[INSTRUMENTAL].flac
240,Bring Home The Glory,"League of Legends, Sara Skinner",Bring Home The Glory,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Bring Home The Glory\01. Bring Home The Glory.flac
241,Bring Home The Glory (Instrumental),"League of Legends, Sara Skinner",Bring Home The Glory,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Bring Home The Glory\02. Bring Home The Glory (Instrumental).flac
242,Phoenix,"League of Legends, Cailin Russo, Chrissy Costanza",Phoenix,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Phoenix\01. Phoenix.flac
243,Phoenix (Instrumental),"League of Legends, Cailin Russo, Chrissy Costanza",Phoenix,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Phoenix\02. Phoenix (Instrumental).flac
244,Phoenix (1788-L Remix),"League of Legends, 1788-L, Cailin Russo, Chrissy Costanza",Phoenix (1788-L Remix),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Phoenix (1788-L Remix)\01. Phoenix (1788-L Remix).flac
245,Phoenix (Blanke Remix),"League of Legends, Blanke, Cailin Russo, Chrissy Costanza",Phoenix (Blanke Remix),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Phoenix (Blanke Remix)\01. Phoenix (Blanke Remix).flac
246,Phoenix (Carpenter Brut Remix),"League of Legends, Carpenter Brut, Cailin Russo, Chrissy Costanza",Phoenix (Carpenter Brut Remix),UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Phoenix (Carpenter Brut Remix)\01. Phoenix (Carpenter Brut Remix).flac
247,Start It Up,"League of Legends, Prblm Chld, new.wav",Start It Up,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Start It Up\01. Start It Up.flac
248,Start It Up INSTRUMENTAL,"League of Legends, Prblm Chld, new.wav",Start It Up,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - Start It Up\02. Start It Up INSTRUMENTAL.flac
249,"True Damage - GIANTS (ft. Becky G, Keke Palmer, SOYEON, DUCKWRTH, Thutmose)",League of Legends,GIANTS,Hip-Hop & Rap,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - True Damage - GIANTS\01. League of Legends, True Damage - GIANTS (ft. Becky G, Keke Palmer, SOYEON, DUCKWRTH, Thutmose).flac"
250,True Damage - GIANTS [Instrumental],League of Legends,GIANTS,Hip-Hop & Rap,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - True Damage - GIANTS\02. League of Legends, True Damage - GIANTS [Instrumental].flac"
251,2019 World Championship Theme,League of Legends,2019 World Championship Theme,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2019 - World Championship Theme\01. 2019 World Championship Theme.flac
252,"Aphelios, The Weapon of the Faithful",League of Legends,"Aphelios, The Weapon of the Faithful",UNKNOWN,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Aphelios, The Weapon of the Faithful\01. Aphelios, The Weapon of the Faithful.flac"
253,"Fiddlesticks, the Harbinger of Doom",League of Legends,"Fiddlesticks, the Harbinger of Doom",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Fiddlesticks, the Harbinger of Doom\01. Fiddlesticks, the Harbinger of Doom.flac"
254,"Lillia, the Bashful Bloom",League of Legends,"Lillia, the Bashful Bloom",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Lillia, the Bashful Bloom\01. Lillia, the Bashful Bloom.flac"
255,MORE,K/DA,MORE,Asian Music,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - MORE\01. MORE.flac
256,PsyOps - 2020,League of Legends,PsyOps - 2020,Films/Games,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - PsyOps\01. PsyOps.flac
257,"Samira, the Desert Rose",League of Legends,"Samira, the Desert Rose",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Samira, the Desert Rose\01. Samira, the Desert Rose.flac"
258,"Senna, the Redeemer",League of Legends & The Crystal Method,"Senna, the Redeemer",UNKNOWN,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Senna, the Redeemer\01. Senna, the Redeemer.flac"
259,"Seraphine, the Starry-Eyed Songstress",League of Legends,"Seraphine, the Starry-Eyed Songstress",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Seraphine, the Starry-Eyed Songstress\01. Seraphine, the Starry-Eyed Songstress.flac"
260,"Sett, the Boss",League of Legends,"Sett, the Boss",UNKNOWN,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Sett, the Boss\01. Sett, the Boss.flac"
261,Take Over,League of Legends,Take Over,Alternative,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Take Over\01. Take Over.flac
262,Take Over(Instrumental),League of Legends,Take Over,Alternative,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Take Over\02. Take Over(Instrumental).flac
263,Take Over (ford. Remix),League of Legends,Take Over (ford. Remix),Electro,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Take Over (ford. Remix)\01. Take Over (ford. Remix).flac
264,THE BADDEST,K/DA,THE BADDEST,Asian Music,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - THE BADDEST\01. THE BADDEST.flac
265,"Volibear, the Relentless Storm",League of Legends; Einar selvik,"Volibear, the Relentless Storm",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Volibear, the Relentless Storm\01. Volibear, the Relentless Storm.flac"
266,Warriors,"League of Legends & 2WEI, Edda Hayes",Warriors,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Warriors\01. Warriors.flac
267,2020 World Championship Theme,League of Legends,2020 World Championship Theme,Alternative,UNKNOWN,D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - World Championship Theme\01. 2020 World Championship Theme.flac
268,"Yone, the Unforgotten",League of Legends,"Yone, the Unforgotten",Films/Games,UNKNOWN,"D:\Music\Anime OSTs and Game Music\League Of Legends Music\Singles\2020 - Yone, the Unforgotten\01. Yone, the Unforgotten.flac"
269,HYDRA,MYTH&ROID,HYDRA,anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\MYTH & ROID - HYDRA\MYTH & ROID - HYDRA [FLAC]\01 HYDRA.flac
270,Stormy Glory,MYTH&ROID,HYDRA,anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\MYTH & ROID - HYDRA\MYTH & ROID - HYDRA [FLAC]\02 Stormy Glory.flac
271,HYDRA (instrumental),MYTH&ROID,HYDRA,anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\MYTH & ROID - HYDRA\MYTH & ROID - HYDRA [FLAC]\03 HYDRA (instrumental).flac
272,Stormy Glory (instrumental),MYTH&ROID,HYDRA,anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\MYTH & ROID - HYDRA\MYTH & ROID - HYDRA [FLAC]\04 Stormy Glory (instrumental).flac
273,rose,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\01 ANNA TSUCHIYA inspi' NANA - rose.flac
274,a little pain,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\02 OLIVIA inspi' REIRA - a little pain.flac
275,zero,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\03 ANNA TSUCHIYA inspi' NANA - zero.flac
276,Wish,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\04 OLIVIA inspi' REIRA - Wish.flac
277,Starless Night,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\05 OLIVIA inspi' REIRA - Starless Night.flac
278,黒い涙,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\06 ANNA TSUCHIYA inspi' NANA - 黒い涙.flac
279,LUCY,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\07 ANNA TSUCHIYA inspi' NANA - LUCY.flac
280,stand by me,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\08 ANNA TSUCHIYA inspi' NANA - stand by me.flac
281,Shadow of Love,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\09 OLIVIA inspi' REIRA - Shadow of Love.flac
282,Winter sleep,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\10 OLIVIA inspi' REIRA - Winter sleep.flac
283,ANARCHY IN THE UK,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\11 ANNA TSUCHIYA inspi' NANA - ANARCHY IN THE UK.flac
284,LUCY ～Studio Live Version～,ANNA TSUCHIYA inspi' NANA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\12 ANNA TSUCHIYA inspi' NANA - LUCY ～Studio Live Version～.flac
285,Nothing's gonna take my love,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\13 OLIVIA inspi' REIRA - Nothing's gonna take my love.flac
286,Recorded Butterflies ～Live Version～,OLIVIA inspi' REIRA,NANA BEST (CTCR-14540/B),Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\NANA BEST [2007][R2J NTSC DVD5 + CD]\CD\14 OLIVIA inspi' REIRA - Recorded Butterflies ～Live Version～.flac
287,Diver,NICO Touches the Walls,Diver,Vocal,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\01 - Diver.flac
288,Yuujou Sanka,NICO Touches the Walls,Diver,Vocal,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\02 - Yuujou Sanka.flac
289,Diver (Instrumental),NICO Touches the Walls,Diver,Karaoke,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\03 - Diver (Instrumental).flac
290,Diver,NICO Touches the Walls,Diver,Vocal,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\Naruto Shippuden OP08 - Diver [flac]\01 - Diver.flac
291,Yuujou Sanka,NICO Touches the Walls,Diver,Vocal,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\Naruto Shippuden OP08 - Diver [flac]\02 - Yuujou Sanka.flac
292,Diver (Instrumental),NICO Touches the Walls,Diver,Karaoke,2011,D:\Music\Anime OSTs and Game Music\Naruto Shippuden OP08 - Diver [flac]\Naruto Shippuden OP08 - Diver [flac]\03 - Diver (Instrumental).flac
293,意味/無/ジュニーク・ニコール,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\101 ~Significance - Nothing.flac
294,遺サレタ場所/斜光,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\102 ~City Ruins - Rays of Light.flac
295,穏ヤカナ眠リ,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\103 ~Peaceful Sleep.flac
296,砂塵ノ記憶,高橋邦幸,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\104 ~Memories of Dust.flac
297,生マレ出ヅル意思,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\105 ~Birth of a Wish.flac
298,沈痛ノ色,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\106 ~The Color of Depression.flac
299,遊園施設,帆足圭吾,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\107 ~Amusement Park.flac
300,美シキ歌,帆足圭吾,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\108 ~A Beautiful Song.flac
301,還ラナイ声/ギター,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\109 ~Voice of no Return - Guitar.flac
302,オバアチャン/破壊,高橋邦幸・岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\110 ~Grandma - Destruction.flac
303,澱ンダ祈リ/暁風,帆足圭吾・岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\111 ~Faltering Prayer - Dawn Breeze.flac
304,エミール/ショップ,高橋邦幸・石濱 翔,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\112 ~Emil's Shop.flac
305,大切ナ時間,帆足圭吾,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\113 ~Treasured Times.flac
306,曖昧ナ希望/氷雨,帆足圭吾,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\114 ~Vague Hope - Cold Rain.flac
307,Weight of the World/English Version,岡部啓一,NieR:Automata Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Nier Automata OST CD 1\CD 1\115 ~Weight of the World English Version.flac
308,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\01 - Let's rumble.mp3
309,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\02 - Dope.mp3
310,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\03 - Kainoratan.mp3
311,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\04 - Distortion.mp3
312,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\05 - Crossover.mp3
313,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\06 - nocturne.mp3
314,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\07 - Never say never.mp3
315,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\08 - Reincarnation.mp3
316,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\09 - Hollow.mp3
317,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\10 - Dodge a bullet.mp3
318,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\11 - Footstep.mp3
319,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\12 - Zen.mp3
320,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\13 - Yatotan.mp3
321,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\14 - One shot.mp3
322,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\15 - Ookunitan.mp3
323,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\16 - Pain.mp3
324,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\17 - Shake H&.mp3
325,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 1\18 - Noratan Love (Love Noragami mix).mp3
326,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\01 - Youthful.mp3
327,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\02 - Jolly.mp3
328,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\03 - Chill out.mp3
329,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\04 - Fellow.mp3
330,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\05 - Grant.mp3
331,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\06 - Tasogare.mp3
332,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\07 - Ra-Ta-Ta.mp3
333,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\08 - Yasumi.mp3
334,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\09 - Obsessed.mp3
335,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Noragami ARAGATO Original Soundtrack\Disc 2\10 - M27.mp3
